,industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
105,Consumer Discretionary,-0.0945421498465019,0.0407117853012338,0.0191375212092993,0.0835760603768611,411900.0,469800.0,429800.0,441300.0,16.63,0.25,1.95,3.91,21.47,47.53,0.0401518049109706,258.678,1.58,3.5,188.0666666666667,0.0,187.32708333333332,0
106,Technology,0.000184647961714,-0.0095779316286532,0.0494779176818136,0.00869091210031,5574200.0,3282600.0,2748700.0,3022200.0,38.73,0.43,1.12,1.47,24.93,23.14,0.0280176385775849,264.877,0.07,6.1,156.03,58.39550221645582,157.40583333333333,0
107,Consumer Discretionary,-0.0321311845347288,0.0396452138050422,-0.0354883112777849,0.0085819281655,1687700.0,2322100.0,1709800.0,4410600.0,38.18,1.35,0.99,2.45,15.28,-7.57,0.0188154998244716,257.208,1.55,3.6,184.27,47.18749999999999,185.8370833333333,1
109,Technology,0.2775329990338387,0.0673980910071353,0.0574586159340015,0.0287012874738579,32905000.0,124614000.0,12562000.0,3580000.0,78.66,0.15,1.67,-301.52,9.2,-50.59,0.0444679518330091,244.733,0.91,4.4,5.255666666666667,78.17422916386163,5.101333333333334,0
110,Industrials,0.0012777215624178,0.0340065259791871,0.0146908015129468,0.0061876497062852,6580200.0,8056200.0,6430200.0,6141700.0,13.1,0.48,0.46,-1.61,33.69,-5.96,0.0270744119948138,264.877,0.07,6.1,30.11333333333333,60.25961058412379,30.45958333333333,1
114,Industrials,-0.0137241244632361,-0.0198714230282665,0.0351266225885283,0.0170581411864377,998400.0,1358300.0,1247000.0,1409700.0,23.82,0.12,1.78,4.69,2.22,-2.11,0.0347678395650162,244.955,1.16,4.3,31.350000000000005,51.3733468972533,31.52458333333333,1
115,Industrials,0.0219714337324663,-0.0175026715555584,-0.0178775744323531,0.0217801087701852,361875.0,203125.0,205078.0,184570.0,31.23,0.42,1.13,-1.54,11.92,14.43,0.0259822920278952,244.524,0.91,4.4,43.98037333333334,85.42199488491045,43.9408,1
116,Energy,0.0356174127311008,0.0342734399267148,0.0273055437464449,0.043750059912767,4602500.0,3458100.0,4064300.0,4988600.0,11.88,1.11,1.06,2.34,8.37,-14.6,0.0244275838911262,251.989,1.91,4.0,45.333333333333336,71.78929037875488,45.47458333333333,1
117,Industrials,0.0094050251654314,0.0257254143733409,-0.0423261724231082,0.0687333440937096,12125400.0,8457400.0,13626200.0,10746900.0,-22.86,-3.75,0.31,-1.08,-8.71,-25.42,0.021542327622353,296.311,1.58,3.6,138.6233333333333,53.41812400635925,138.43416666666667,0
119,Health Care,0.0367398534327148,0.0052483323814818,0.0042948018986134,0.0428542261402601,696200.0,805000.0,1353200.0,471700.0,-169.96,1.0,9.02,-2.31,-6.1,16.35,0.0428843281920935,252.006,1.91,3.8,107.79666666666668,70.85714285714296,107.18541666666668,0
